aah;v;32
abacinate;v;39
abandon;v;40,40,38,31,31
abase;v;37
abash;v;37
abate;v;30,30
abbreviate;v;30,30
abdicate;v;41
abduce;v;32
abduct;v;35,35
aberrate;v;42,42
abet;v;41
abhor;v;37
abide;v;42,31
abjure;v;32
ablactate;v;34
ablate;v;30,30
abnegate;v;40,33,32
abolish;v;41
abominate;v;37
abort;v;30,29,29
abound;v;42,42
about-face;v;38,31
abrade;v;35,35
abrase;v;35
abreact;v;37
abridge;v;30,30
abrogate;v;41
abscise;v;35,35
abscond;v;38
abseil;v;38
absent;v;30
absolve;v;32,32
absorb;v;35,31,40,35,30,43,31,35,31
absquatulate;v;38
abstain;v;41,34
abstract;v;31,40,31,32
abuse;v;41,30,32,30
abut;v;35
aby;v;41
abye;v;41
accede;v;32,41,32
accelerate;v;30,30
accent;v;32,32
accentuate;v;32,32
accept;v;31,40,32,31,40,40,31,42,40,40,31
access;v;40,38
accession;v;32
acclaim;v;32,32
acclimate;v;30
acclimatise;v;30
acclimatize;v;30
accommodate;v;42,30,34,42,42,32,30
accompany;v;42,38,36,42
accomplish;v;36,41
accord;v;42,40
accost;v;32,32
account;v;42,40,32,32
accouter;v;40
accoutre;v;40
accredit;v;41,41,31
accrete;v;30,30
accrue;v;30,40
acculturate;v;30
accumulate;v;40,30
accurse;v;32
accuse;v;32,32
accustom;v;30
ace;v;41,33,33,33
acerbate;v;37,30
acetify;v;39,30
acetylate;v;30,30
acetylise;v;30,30
acetylize;v;30,30
ache;v;39,37,39
achieve;v;41
achromatise;v;30
achromatize;v;30
acid-wash;v;35
acidify;v;39,30
acidulate;v;39
acknowledge;v;32,32,32,32,31,31
acquaint;v;32,32,32
acquiesce;v;32
acquire;v;40,30,29,42,40,31,30
acquit;v;32,41
act;v;41,29,36,33,29,42,41,41,36,36
action;v;41,36
activate;v;36,30,30,30,30
actualise;v;36,32
actualize;v;36,32
actuate;v;36,36
acuminate;v;30
ad-lib;v;36
adapt;v;30,30
add;v;30,32,40,31,32,42
addict;v;34
addle;v;31,30
address;v;32,32,32,33,34,41,40,32,32,30
adduce;v;32
adduct;v;35
adhere;v;42,30,35,42,42,35
adjoin;v;35,35,30
adjourn;v;30,41
adjudge;v;32
adjudicate;v;41,31
adjure;v;32,32
adjust;v;30,30,30,30,31
admeasure;v;40
administer;v;41,40,40,29,41
administrate;v;41
admire;v;37,39
admit;v;32,41,41,40,42,42,42,42
admix;v;30
admonish;v;32,32,32
adolesce;v;30
adopt;v;40,40,41,30,30,36,31
adore;v;37
adorn;v;36,42,41
adsorb;v;35
adulate;v;32
adulterate;v;30
adumbrate;v;32,32
advance;v;38,32,30,41,38,33,30,30,41,40,38,30
advantage;v;41
advect;v;38
adventure;v;41,41
advert;v;39,32,32
advertise;v;32,32
advertize;v;32,32
advise;v;32,32,32
advocate;v;32,32
aerate;v;39,30,30
aerify;v;30
aerosolise;v;35,35
aerosolize;v;35,35
aestivate;v;29
affect;v;30,29,42,32,37
affiance;v;32
affiliate;v;41,41
affirm;v;31,32,32
affix;v;35,35,35
afflict;v;37,30
afford;v;34,40,42,40
afforest;v;35
affranchise;v;41
affright;v;37
affront;v;32
age;v;30,30,30
agenise;v;30
agenize;v;30
agglomerate;v;35
agglutinate;v;35,35
aggrade;v;35
aggrandise;v;32
aggrandize;v;32
aggravate;v;30,37
aggregate;v;42,35
aggress;v;33
aggrieve;v;41,37
aggroup;v;33
agitate;v;41,37,41,38,38,35
agnise;v;31
agnize;v;31
agonise;v;37,37
agonize;v;37,37
agree;v;32,32,42,42,42,40,32
aid;v;41,29
ail;v;29,29
aim;v;33,31,32,31,33,32,31
air;v;39,32,32,32,30,30
air-condition;v;40,40
air-cool;v;40
air-drop;v;35
air-freight;v;38
air-ship;v;38
air-slake;v;30
airbrush;v;35
airfreight;v;38
airlift;v;35
airmail;v;32
airt;v;38
alarm;v;37,32
alchemise;v;30
alchemize;v;30
alcoholise;v;30,30
alcoholize;v;34,30,30
alert;v;32
alibi;v;32
alien;v;40
alienate;v;37,40,37
alight;v;38,38
align;v;30,42,31,30
aliment;v;34
aline;v;30
alkalify;v;30
alkalinise;v;30,30
alkalinize;v;30,30
alkalise;v;30
alkalize;v;30
allay;v;37,34
allege;v;32
allegorise;v;31,30
allegorize;v;31,30
alleviate;v;29,30
alligator;v;30
alliterate;v;36
allocate;v;40
allot;v;40,40,40
allow;v;41,32,40,31,42,31,42,41,40,32
allowance;v;40
alloy;v;30,30
allude;v;32
allure;v;32
ally;v;41
alphabetise;v;30
alphabetize;v;30,40
alter;v;30,30,36,30,29
altercate;v;32
alternate;v;30,41,31,30,30
aluminise;v;35
aluminize;v;35
amalgamate;v;35
amass;v;30,40
amaze;v;31,31
ambition;v;37
amble;v;38
ambulate;v;38
ambuscade;v;33
ambush;v;33,33
ameliorate;v;30,30
amend;v;32,30,30
amerce;v;41,41
americanise;v;30,30
americanize;v;30,30
ammoniate;v;30
ammonify;v;30
amnesty;v;32
amortise;v;40
amortize;v;40
amount;v;42,42,42
amplify;v;30,32,30,30
amputate;v;35
amuse;v;41,32
anaesthetise;v;29
anaesthetize;v;29
anagram;v;31
anagrammatise;v;31
anagrammatize;v;31
analogise;v;31
analogize;v;31
analyse;v;31,31,31,31
analyze;v;31,31,31,31
anastomose;v;35,35
anathematise;v;32
anathematize;v;32
anathemise;v;32,32
anathemize;v;32,32
anatomise;v;35
anatomize;v;35,31
anchor;v;35,35
ancylose;v;29,29
anele;v;29
anesthetise;v;29
anesthetize;v;29
anger;v;37,37
angle;v;38,38,35,33,31
angle-park;v;38
anglicise;v;30
anglicize;v;30
anguish;v;37,37
angulate;v;30
animadvert;v;32,32
animalise;v;36,30,30
animalize;v;36,30,30
animate;v;37,30,30,29
animise;v;30
animize;v;30
ankylose;v;29,29
anneal;v;30
annex;v;40,35
annihilate;v;30
annotate;v;36,32
announce;v;32,32,32,32
annoy;v;37
annul;v;41,32
annunciate;v;32
anodise;v;30
anodize;v;30
anoint;v;31,29
answer;v;32,31,31,31,32,42,42,42,34,31
antagonise;v;41,37
antagonize;v;37,41
ante;v;33
antecede;v;42
antedate;v;42,30
anthologise;v;36
anthologize;v;36
anthropomorphise;v;31
anthropomorphize;v;31
antic;v;29
anticipate;v;31,41,31,32,37,30
antiquate;v;30,30
antique;v;40,30
antisepticize;v;29
ape;v;42,32
aphorise;v;32
aphorize;v;32
apologise;v;32,32
apologize;v;32,32
apostatise;v;32
apostatize;v;32
apostrophise;v;32
apostrophize;v;32
apotheose;v;31
apotheosise;v;31
apotheosize;v;31
appal;v;37,37
appall;v;37,37
apparel;v;29
appeal;v;41,32,37,41,32
appear;v;39,30,30,39,30,36,41
appease;v;37,34,32
append;v;35,35,32
apperceive;v;39
appertain;v;42
applaud;v;32,32
applique;v;36
apply;v;34,42,32,35,42,40,41,41,32,41
appoint;v;41,41,40
apportion;v;40,40
appose;v;35
appraise;v;31,31
appreciate;v;37,31,40,30,30
apprehend;v;31,35,37
apprentice;v;31
apprise;v;32,32,30,30
apprize;v;32,32,30,30
approach;v;38,42,41,38,32
approbate;v;32,31
appropriate;v;31,40
approve;v;32,31
approximate;v;42,31
aquaplane;v;38,38
aquatint;v;36
arbitrage;v;40
arbitrate;v;32
arborise;v;30
arborize;v;30
arc;v;38
arch;v;38
archaise;v;30
archaize;v;30
archive;v;35
argue;v;32,32,32
argufy;v;32
arise;v;42,42,38,30,38,41,29
arm;v;33,40
armor;v;40
armour;v;40
aromatise;v;39
aromatize;v;39
arouse;v;37,29,36,29,29,38,37
arraign;v;41,32
arrange;v;35,32,36,36,29,36,31
array;v;35,31
arrest;v;35,33,35,38
arrive;v;38,41
arrogate;v;40,40,40
arterialise;v;30
arterialize;v;30
article;v;32
articulate;v;40,32,32,42,32
ascend;v;38,42,41,38,38,38,38,38
ascertain;v;32,31,32,31
ascribe;v;31
ash;v;30
ask;v;32,32,32,32,42,41,32
asperse;v;32
asphalt;v;35
asphyxiate;v;35,35,30
aspirate;v;35,32,29
aspire;v;31
assail;v;33,33,32
assassinate;v;41,32
assault;v;33,41,32
assay;v;31,41
assemble;v;36,41,41
assent;v;32
assert;v;32,32,41,31
assess;v;31,40,40,31
asseverate;v;32
assibilate;v;32,30
assign;v;41,40,31,31,34,40,40,31
assimilate;v;31,30,30,35,30
assist;v;41,41,41
associate;v;31,41,41
assoil;v;32
assonate;v;42
assort;v;41,31
assuage;v;37,34,29
assume;v;31,41,30,40,38,40,36,35,29
assure;v;32,32,32,31,37,32
asterisk;v;30
astonish;v;31
astound;v;31
astringe;v;35,30
astrogate;v;38,38
atom-bomb;v;33
atomise;v;35,33,30
atomize;v;35,33,30
atone;v;41,37
atrophy;v;29
attach;v;35,35,35,41,40
attack;v;33,32,33,33,30,29
attain;v;41,38,40,38
attaint;v;41,39
attemper;v;30
attempt;v;41,36
attend;v;42,41,42,41,39
attenuate;v;30,30
attest;v;32,32,32,32
attire;v;29
attitudinise;v;41
attitudinize;v;41
attorn;v;31
attract;v;35,37,35
attribute;v;31,31
attune;v;30
auction;v;40
auctioneer;v;40
audit;v;31,31
audition;v;36
augment;v;30,30
augur;v;32,32
aurify;v;30,30
auscultate;v;39
auspicate;v;32,30
authenticate;v;31
author;v;36
authorise;v;41,32
authorize;v;32,41
autoclave;v;29
autograph;v;32
automate;v;30
automatise;v;30,30
automatize;v;30,30
automobile;v;38
autopsy;v;39
autotomise;v;35
autotomize;v;35
avail;v;34,41,34
avalanche;v;38
avenge;v;33
aver;v;32,32
average;v;42,41,31
avert;v;41,38
avianise;v;30
avianize;v;30
aviate;v;38
avoid;v;32,41,41,34,41
avouch;v;32
avow;v;32,32
avulse;v;38
await;v;31
awake;v;29
awaken;v;29,29,31
award;v;40,40
awe;v;37
ax;v;35,30
axe;v;35,30
azure;v;30
baa;v;32
babbitt;v;35
babble;v;32,32,39,32
baby;v;41
baby-sit;v;41,41
babysit;v;41,41
bach;v;42
bachelor;v;42
back;v;41,38,41,38,40,42,33,30,30,30
backbite;v;32
backcross;v;35
backdate;v;41
backfire;v;41,39,30
background;v;30
backhand;v;35
backlash;v;41
backlog;v;30
backpack;v;38
backpedal;v;38,38,31
backscatter;v;30
backslap;v;41
backslide;v;30
backspace;v;32
backstitch;v;35
backstop;v;33
backstroke;v;38
backtrack;v;38
bacterise;v;30
bacterize;v;30
badge;v;35
badger;v;37,32
badmouth;v;32
baffle;v;31,41,30
bag;v;35,42,42,40,35
bail;v;41,40,32,30,30
bait;v;32,41,33
bake;v;30,36,30,42
balance;v;42,40,35,42
bald;v;30
bale;v;35
balk;v;41
balkanise;v;41
balkanize;v;41
ball;v;35
ballast;v;30
balloon;v;38,30
ballot;v;41
ballyhoo;v;32
ballyrag;v;37
bamboozle;v;32
